original_folder_name,cleaned_folder_name,original_file_name,cleaned_file_name,slug,alt_text,download_link
Celebrity_Photos,Celebrity_Photos,jane_seymour.jpg,jane_seymour.jpg,jane-seymour,Jane Seymour,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jane_seymour.jpg
Celebrity_Photos,Celebrity_Photos,jane_seymour_.jpg,jane_seymour_.jpg,jane-seymour-,Jane Seymour ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jane_seymour_.jpg
Celebrity_Photos,Celebrity_Photos,jane_seymour_2.jpg,jane_seymour_2.jpg,jane-seymour-2,Jane Seymour 2,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jane_seymour_2.jpg
Celebrity_Photos,Celebrity_Photos,Jane_Seymour_and_Son_Johnny_Keach__v2.jpg,Jane_Seymour_and_Son_Johnny_Keach__v2.jpg,jane-seymour-and-son-johnny-keach--v2,Jane Seymour And Son Johnny Keach  V2,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Jane_Seymour_and_Son_Johnny_Keach__v2.jpg
Celebrity_Photos,Celebrity_Photos,jane_Seymour_Bath_England_web.jpg,jane_Seymour_Bath_England_web.jpg,jane-seymour-bath-england-web,Jane Seymour Bath England Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jane_Seymour_Bath_England_web.jpg
Celebrity_Photos,Celebrity_Photos,Jean_Reno.jpg,Jean_Reno.jpg,jean-reno,Jean Reno,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Jean_Reno.jpg
Celebrity_Photos,Celebrity_Photos,Jenny_Garth_web.jpg,Jenny_Garth_web.jpg,jenny-garth-web,Jenny Garth Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Jenny_Garth_web.jpg
Celebrity_Photos,Celebrity_Photos,Johnny_depp_web.jpg,Johnny_depp_web.jpg,johnny-depp-web,Johnny Depp Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Johnny_depp_web.jpg
Celebrity_Photos,Celebrity_Photos,Kevin_Sorbo_015.jpg,Kevin_Sorbo_015.jpg,kevin-sorbo-015,Kevin Sorbo 015,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Kevin_Sorbo_015.jpg
Celebrity_Photos,Celebrity_Photos,Kim_kattrel_v2_.jpg,Kim_kattrel_v2_.jpg,kim-kattrel-v2-,Kim Kattrel V2 ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Kim_kattrel_v2_.jpg
Celebrity_Photos,Celebrity_Photos,Kirk_Douglas.jpg,Kirk_Douglas.jpg,kirk-douglas,Kirk Douglas,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Kirk_Douglas.jpg
Celebrity_Photos,Celebrity_Photos,Larry_Wilcox119.jpg,Larry_Wilcox119.jpg,larry-wilcox119,Larry Wilcox119,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Larry_Wilcox119.jpg
Celebrity_Photos,Celebrity_Photos,LINDA_GRAY_.jpg,LINDA_GRAY_.jpg,linda-gray-,Linda Gray ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/LINDA_GRAY_.jpg
Celebrity_Photos,Celebrity_Photos,lisa_Kudrow__0020_web.jpg,lisa_Kudrow__0020_web.jpg,lisa-kudrow--0020-web,Lisa Kudrow  0020 Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/lisa_Kudrow__0020_web.jpg
Celebrity_Photos,Celebrity_Photos,marla_maples.jpg,marla_maples.jpg,marla-maples,Marla Maples,https://hbapi.leeseaver.com/processed/Celebrity_Photos/marla_maples.jpg
